"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3737";"T001038";"GM0648";"1980JJ00";"    3865"
"3738";"T001038";"GM0648";"1981JJ00";"    3939"
"3739";"T001038";"GM0648";"1982JJ00";"    3943"
"3740";"T001038";"GM0648";"1983JJ00";"    3917"
"3741";"T001038";"GM0648";"1984JJ00";"    3903"
"3742";"T001038";"GM0648";"1985JJ00";"    3900"
"3743";"T001038";"GM0648";"1986JJ00";"    3881"
"3744";"T001038";"GM0648";"1987JJ00";"    3874"
"3745";"T001038";"GM0648";"1988JJ00";"    3821"
"3746";"T001038";"GM0648";"1989JJ00";"    3784"
"3747";"T001038";"GM0648";"1990JJ00";"    3736"
"3748";"T001038";"GM0648";"1991JJ00";"    3710"
"3749";"T001038";"GM0648";"1992JJ00";"    3720"
"3750";"T001038";"GM0648";"1993JJ00";"    3658"
"3751";"T001038";"GM0648";"1994JJ00";"    3646"
"3752";"T001038";"GM0648";"1995JJ00";""
"3753";"T001038";"GM0648";"1996JJ00";""
"3754";"T001038";"GM0648";"1997JJ00";""
"3755";"T001038";"GM0648";"1998JJ00";""
"3756";"T001038";"GM0648";"1999JJ00";""
"3757";"T001038";"GM0648";"2000JJ00";""
"3758";"T001038";"GM0648";"2001JJ00";""
"3759";"T001038";"GM0648";"2002JJ00";""
"3760";"T001038";"GM0648";"2003JJ00";""
"3761";"T001038";"GM0648";"2004JJ00";""
"3762";"T001038";"GM0648";"2005JJ00";""
"3763";"T001038";"GM0648";"2006JJ00";""
"3764";"T001038";"GM0648";"2007JJ00";""
"3765";"T001038";"GM0648";"2008JJ00";""
"3766";"T001038";"GM0648";"2009JJ00";""
"3767";"T001038";"GM0648";"2010JJ00";""
"3768";"T001038";"GM0648";"2011JJ00";""
"3769";"T001038";"GM0648";"2012JJ00";""
"3770";"T001038";"GM0648";"2013JJ00";""
"3771";"T001038";"GM0648";"2014JJ00";""
"3772";"T001038";"GM0648";"2015JJ00";""
"3773";"T001038";"GM0648";"2016JJ00";""
"3774";"T001038";"GM0648";"2017JJ00";""
"3775";"T001038";"GM0648";"2018JJ00";""
"3776";"T001038";"GM0739";"1960JJ00";"    3839"
"3777";"T001038";"GM0739";"1961JJ00";"    3851"
"3778";"T001038";"GM0739";"1962JJ00";"    3897"
"3779";"T001038";"GM0739";"1963JJ00";"    3914"
"3780";"T001038";"GM0739";"1964JJ00";"    4017"
"3781";"T001038";"GM0739";"1965JJ00";"    4003"
"3782";"T001038";"GM0739";"1966JJ00";"    4041"
"3783";"T001038";"GM0739";"1967JJ00";"    4114"
"3784";"T001038";"GM0739";"1968JJ00";"    4203"
"3785";"T001038";"GM0739";"1969JJ00";"    4213"
"3786";"T001038";"GM0739";"1970JJ00";"    4255"
"3787";"T001038";"GM0739";"1971JJ00";"    4322"
"3788";"T001038";"GM0739";"1972JJ00";"    4374"
"3789";"T001038";"GM0739";"1973JJ00";"    4557"
"3790";"T001038";"GM0739";"1974JJ00";"    4711"
"3791";"T001038";"GM0739";"1975JJ00";"    4881"
"3792";"T001038";"GM0739";"1976JJ00";"    5022"
"3793";"T001038";"GM0739";"1977JJ00";"    5046"
"3794";"T001038";"GM0739";"1978JJ00";"    5158"
"3795";"T001038";"GM0739";"1979JJ00";"    5185"
"3796";"T001038";"GM0739";"1980JJ00";"    5228"
"3797";"T001038";"GM0739";"1981JJ00";"    5270"
"3798";"T001038";"GM0739";"1982JJ00";"    5356"
"3799";"T001038";"GM0739";"1983JJ00";"    5349"
"3800";"T001038";"GM0739";"1984JJ00";"    5403"
"3801";"T001038";"GM0739";"1985JJ00";"    5435"
"3802";"T001038";"GM0739";"1986JJ00";"    5507"
"3803";"T001038";"GM0739";"1987JJ00";"    5499"
"3804";"T001038";"GM0739";"1988JJ00";"    5602"
"3805";"T001038";"GM0739";"1989JJ00";"    5676"
"3806";"T001038";"GM0739";"1990JJ00";"    5780"
"3807";"T001038";"GM0739";"1991JJ00";"    5860"
"3808";"T001038";"GM0739";"1992JJ00";"    5841"
"3809";"T001038";"GM0739";"1993JJ00";"    5878"
"3810";"T001038";"GM0739";"1994JJ00";"    5923"
"3811";"T001038";"GM0739";"1995JJ00";"    5905"
"3812";"T001038";"GM0739";"1996JJ00";"    5888"
"3813";"T001038";"GM0739";"1997JJ00";""
"3814";"T001038";"GM0739";"1998JJ00";""
"3815";"T001038";"GM0739";"1999JJ00";""
"3816";"T001038";"GM0739";"2000JJ00";""
"3817";"T001038";"GM0739";"2001JJ00";""
"3818";"T001038";"GM0739";"2002JJ00";""
"3819";"T001038";"GM0739";"2003JJ00";""
"3820";"T001038";"GM0739";"2004JJ00";""
"3821";"T001038";"GM0739";"2005JJ00";""
"3822";"T001038";"GM0739";"2006JJ00";""
"3823";"T001038";"GM0739";"2007JJ00";""
"3824";"T001038";"GM0739";"2008JJ00";""
"3825";"T001038";"GM0739";"2009JJ00";""
"3826";"T001038";"GM0739";"2010JJ00";""
"3827";"T001038";"GM0739";"2011JJ00";""
"3828";"T001038";"GM0739";"2012JJ00";""
"3829";"T001038";"GM0739";"2013JJ00";""
"3830";"T001038";"GM0739";"2014JJ00";""
"3831";"T001038";"GM0739";"2015JJ00";""
"3832";"T001038";"GM0739";"2016JJ00";""
"3833";"T001038";"GM0739";"2017JJ00";""
"3834";"T001038";"GM0739";"2018JJ00";""
"3835";"T001038";"GM0359";"1960JJ00";"     992"
"3836";"T001038";"GM0359";"1961JJ00";"    1004"
"3837";"T001038";"GM0359";"1962JJ00";"    1011"
"3838";"T001038";"GM0359";"1963JJ00";"    1013"
"3839";"T001038";"GM0359";"1964JJ00";"    1029"
"3840";"T001038";"GM0359";"1965JJ00";"    1061"
"3841";"T001038";"GM0359";"1966JJ00";"    1115"
"3842";"T001038";"GM0359";"1967JJ00";"    1213"
"3843";"T001038";"GM0359";"1968JJ00";"    1277"
"3844";"T001038";"GM0359";"1969JJ00";"    1337"
"3845";"T001038";"GM0359";"1970JJ00";"    1426"
"3846";"T001038";"GM0359";"1971JJ00";"    1484"
"3847";"T001038";"GM0359";"1972JJ00";"    1495"
"3848";"T001038";"GM0359";"1973JJ00";"    1618"
"3849";"T001038";"GM0359";"1974JJ00";"    1714"
"3850";"T001038";"GM0359";"1975JJ00";"    1740"
"3851";"T001038";"GM0359";"1976JJ00";"    1816"
"3852";"T001038";"GM0359";"1977JJ00";"    2016"
"3853";"T001038";"GM0359";"1978JJ00";"    2100"
"3854";"T001038";"GM0359";"1979JJ00";""
"3855";"T001038";"GM0359";"1980JJ00";""
"3856";"T001038";"GM0359";"1981JJ00";""
"3857";"T001038";"GM0359";"1982JJ00";""
"3858";"T001038";"GM0359";"1983JJ00";""
"3859";"T001038";"GM0359";"1984JJ00";""
"3860";"T001038";"GM0359";"1985JJ00";""
