"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"567999";"T001038";"10300";"T001019";"PV24  ";"2019JJ00";"    5075"
"709760";"T001038";"10400";"T001019";"PV20  ";"1988JJ00";"    6077"
"709761";"T001038";"10400";"T001019";"PV20  ";"1989JJ00";"    6074"
"709762";"T001038";"10400";"T001019";"PV20  ";"1990JJ00";"    6095"
"709763";"T001038";"10400";"T001019";"PV20  ";"1991JJ00";"    6214"
"709764";"T001038";"10400";"T001019";"PV20  ";"1992JJ00";"    6219"
"709765";"T001038";"10400";"T001019";"PV20  ";"1993JJ00";"    6025"
"709766";"T001038";"10400";"T001019";"PV20  ";"1994JJ00";"    6115"
"709767";"T001038";"10400";"T001019";"PV20  ";"1995JJ00";"    6552"
"709768";"T001038";"10400";"T001019";"PV20  ";"1996JJ00";"    6453"
"709769";"T001038";"10400";"T001019";"PV20  ";"1997JJ00";"    6172"
"709770";"T001038";"10400";"T001019";"PV20  ";"1998JJ00";"    6178"
"709771";"T001038";"10400";"T001019";"PV20  ";"1999JJ00";"    6353"
"709772";"T001038";"10400";"T001019";"PV20  ";"2000JJ00";"    6281"
"709773";"T001038";"10400";"T001019";"PV20  ";"2001JJ00";"    6223"
"709774";"T001038";"10400";"T001019";"PV20  ";"2002JJ00";"    6397"
"709775";"T001038";"10400";"T001019";"PV20  ";"2003JJ00";"    6522"
"709776";"T001038";"10400";"T001019";"PV20  ";"2004JJ00";"    6558"
"709777";"T001038";"10400";"T001019";"PV20  ";"2005JJ00";"    6516"
"709778";"T001038";"10400";"T001019";"PV20  ";"2006JJ00";"    6536"
"709779";"T001038";"10400";"T001019";"PV20  ";"2007JJ00";"    6360"
"709780";"T001038";"10400";"T001019";"PV20  ";"2008JJ00";"    6317"
"709781";"T001038";"10400";"T001019";"PV20  ";"2009JJ00";"    5903"
"709782";"T001038";"10400";"T001019";"PV20  ";"2010JJ00";"    5771"
"709783";"T001038";"10400";"T001019";"PV20  ";"2011JJ00";"    5695"
"709784";"T001038";"10400";"T001019";"PV20  ";"2012JJ00";"    5571"
"709785";"T001038";"10400";"T001019";"PV20  ";"2013JJ00";"    5772"
"709786";"T001038";"10400";"T001019";"PV20  ";"2014JJ00";"    5779"
"709787";"T001038";"10400";"T001019";"PV20  ";"2015JJ00";"    5579"
"709788";"T001038";"10400";"T001019";"PV20  ";"2016JJ00";"    5606"
"709789";"T001038";"10400";"T001019";"PV20  ";"2017JJ00";"    5400"
"709790";"T001038";"10400";"T001019";"PV20  ";"2018JJ00";"    5117"
